Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-460.133.090,fantasky sàrl,consumer products,,Vaud,,,2014.0,,,1.0,0.0,
CHE-378.742.299,urbanpeople.com AG,ICT,,Zürich,,,2013.0,,,1.0,0.0,
CHE-115.661.872,Taiga Elements Sàrl,cleantech,,JU,,,2010.0,,Male,1.0,0.0,
CHE-408.521.948,MedMira International AG,medtech,,ZG,,,2013.0,,Male,1.0,0.0,
CHE-225.291.263,eBizGames Sàrl,ICT,,Vaud,,,2014.0,,Male,1.0,0.0,
CHE-113.971.333,iNoCs Sàrl,micro / nano,,Vaud,EPFL,,2007.0,,,1.0,0.0,
CHE-262.417.025,Crowd Trading,ICT (fintech),,Vaud,,,2014.0,,,1.0,0.0,
CHE-110.251.254,Sapphire Innovation,ICT (fintech),,Zug,,,2013.0,,,1.0,0.0,
CHE-332.032.460,AstraSana Holding AG,Interdisciplinary,,Zürich,,,2022.0,,Male,0.0,0.0,
CHE-364.780.135,cloudscale.ch AG,ICT,,ZH,,Zürich,2014.0,,Male,0.0,0.0,
CHE-339.794.140,do nxt ag,ICT,,Zürich,,,2015.0,,,1.0,0.0,
CHE-266.179.592,1ofa100.com,consumer products,,Zürich,,,2014.0,,,1.0,0.0,gelöscht
CHE-140.338.227,Zestagen SA,biotech,,VD,,,2011.0,,,1.0,0.0,
CHE-113.523.118,Okairos,biotech,,Basel-Stadt,,,2007.0,,,1.0,0.0,
CHE-114.718.417,Quantesys SA,ICT (fintech),,Valais / Wallis,,,2009.0,,,1.0,0.0,
CHE-112.327.709,Funzyme Biotechnology SA,biotech,,GE,Université de Genève,,2005.0,,,1.0,0.0,
CHE-260.563.041,Swiss Alpine Air,consumer products,,Zug,,,2016.0,,,1.0,0.0,
CHE-144.589.797,i-Lumica AG,micro / nano,,Bern,,,2011.0,,,1.0,0.0,
CHE-115.010.775,Neurobat AG,micro / nano,,SG,CSEM,,2009.0,,,1.0,0.0,
CHE-483.169.437,Ikaneos Sàrl,ICT,,Vaud,,,2013.0,,,1.0,0.0,
CHE-115.708.278,swissaudec Sàrl,ICT,,Vaud,,,2010.0,,,1.0,0.0,
CHE-115.685.039,sertal GmbH,ICT,,Bern,,,2010.0,,,1.0,0.0,
CHE-250.454.752,Teleport SA,ICT,,VD,,,2016.0,,,1.0,0.0,
CHE-115.667.159,MicroDuits GmbH,biotech,,Zürich,ETH,,2010.0,,,1.0,0.0,
CHE-187.663.083,Bright Sensors SA,micro / nano,,NE,EPFL,,2014.0,,Male,1.0,0.0,
CHE-450.852.272,Cambridge Editing AG,ICT,,ZG,,Baar,2013.0,,,1.0,0.0,
CHE-323.337.386,Fennex AG,ICT,,ZH,,,2017.0,,,0.0,0.0,
CHE-115.647.369,Balonco GmbH,biotech,,Aargau,,Kaiseraugust,2010.0,,,1.0,0.0,
CHE-139.852.262,Helvedis Pharma SA,biotech,,Jura,,,2011.0,,,1.0,0.0,
CHE-116.249.899,Perfusal Sàrl,medtech,,JU,,,2010.0,,,1.0,0.0,
CHE-429.091.221,Pyrates Luxury,consumer products,,Genève,,,2014.0,,,1.0,0.0,
CHE-100.132.694,Amaris,,,Graubünden,,,1992.0,,,1.0,0.0,
CHE-169.620.012,SANDSIV,ICT,,ZH,,,2010.0,,Male,1.0,0.0,
CHE-191.011.771,évoé Wine Technologies SA,ICT,,Vaud,,,2016.0,,,1.0,0.0,
CHE-134.211.630,Sunbiotec AG,cleantech,,ZH,ETH,,2011.0,,,1.0,0.0,
CHE-242.442.899,GovFaces,ICT,,Genève,,,2014.0,,,1.0,0.0,
CHE-102.015.272,OneLab Solutions Sàrl,ICT,,Vaud,,,2001.0,,,1.0,0.0,
CHE-114.593.498,Express your Emotions GmbH,consumer products,,Aargau,,,2008.0,,,1.0,0.0,
CHE-115.757.006,TechPlants SA,micro / nano,,JU,,,2010.0,,,1.0,0.0,
CHE-112.518.557,Lenditapp AG,ICT (fintech),,ZG,,,2016.0,,,1.0,0.0,
CHE-267.075.736,Lucentix,medtech,,Vaud,EPFL,,2015.0,Winner Venture Kick,,1.0,0.0,
CHE-113.348.499,Eurolactis SA,consumer products,,Vaud,,,2007.0,,,1.0,0.0,
CHE-463.761.495,Additive Dynamics GmbH,micro / nano,,St. Gallen,,,2015.0,,,1.0,0.0,
CHE-114.445.053,CT Atlantic Ltd.,biotech,,ZH,Universität Zürich,,2008.0,,,1.0,0.0,
CHE-226.273.256,DISCOVERYFY Sagl,ICT,,Ticino,,,2012.0,,,1.0,0.0,
CHE-115.372.646,Avance Medical Sàrl,biotech,,VD,,,2010.0,,,1.0,0.0,
CHE-471.353.974,Gimalon AG,ICT,,Zürich,ETH,,2013.0,,,1.0,0.0,
CHE-360.691.627,Morphodyne SA,biotech,,Neuchâtel,EPFL,,2014.0,,,1.0,0.0,
CHE-482.059.639,ALEVO GROUP SA,cleantech,,VD,,,2012.0,,,1.0,0.0,
